order_id,client_id,client_type,product_name,quantity,status,revenue,waiting_time,processing_time,worker_name,message
2,10002,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00016,0.01658,Servidor-1,"Compra completada correctamente."
4,10004,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.00012,0.01685,Servidor-2,"Compra completada correctamente."
6,10006,NORMAL,"MacBook Air",1,ACCEPTED,1199.00,0.00008,0.01824,Servidor-3,"Compra completada correctamente."
1,10001,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.00012,0.02341,Servidor-4,"Compra completada correctamente."
3,10003,VIP,"Nintendo Switch",2,ACCEPTED,639.98,0.00005,0.02746,Servidor-5,"Compra completada correctamente."
8,10008,VIP,"Kindle",1,ACCEPTED,129.99,0.00005,0.02770,Servidor-6,"Compra completada correctamente."
10,10010,NORMAL,"MacBook Air",1,ACCEPTED,1199.00,0.00007,0.02754,Servidor-8,"Compra completada correctamente."
11,10011,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.00002,0.02885,Servidor-10,"Compra completada correctamente."
5,10005,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.00006,0.03590,Servidor-7,"Compra completada correctamente."
17,10017,NORMAL,"Kindle",2,ACCEPTED,259.98,0.00009,0.02871,Servidor-11,"Compra completada correctamente."
12,10012,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00004,0.03649,Servidor-9,"Compra completada correctamente."
14,10014,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.00015,0.04033,Servidor-1,"Compra completada correctamente."
29,10029,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00241,0.03342,Servidor-4,"Compra completada correctamente."
16,10016,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.00006,0.04601,Servidor-2,"Compra completada correctamente."
7,10007,NORMAL,"AirPods Pro",1,ACCEPTED,249.00,0.00004,0.04732,Servidor-12,"Compra completada correctamente."
13,10013,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.01272,0.03627,Servidor-6,"Compra completada correctamente."
9,10009,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.00003,0.05314,Servidor-3,"Compra completada correctamente."
15,10015,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.01326,0.03907,Servidor-8,"Compra completada correctamente."
24,10024,VIP,"PlayStation 5",1,PAYMENT_ERROR,0.00,0.00009,0.04730,Servidor-5,"Pedido cancelado: fallo en la pasarela de pago."
19,10019,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.01743,0.04079,Servidor-11,"Compra completada correctamente."
18,10018,NORMAL,"Cafetera Deluxe",1,ACCEPTED,189.99,0.01929,0.04979,Servidor-10,"Compra completada correctamente."
38,10038,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.01080,0.03458,Servidor-1,"Compra completada correctamente."
28,10028,VIP,"AirPods Pro",2,ACCEPTED,498.00,0.00078,0.05345,Servidor-7,"Compra completada correctamente."
46,10046,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00560,0.03840,Servidor-4,"Compra completada correctamente."
30,10030,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00082,0.05808,Servidor-9,"Compra completada correctamente."
27,10027,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.05415,0.01636,Servidor-10,"Compra completada correctamente."
50,10050,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00452,0.04015,Servidor-2,"Compra completada correctamente."
23,10023,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.05278,0.04153,Servidor-3,"Compra completada correctamente."
25,10025,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.04284,0.04457,Servidor-8,"Compra completada correctamente."
22,10022,NORMAL,"Smart TV 55",2,ACCEPTED,1298.00,0.04041,0.05216,Servidor-6,"Compra completada correctamente."
71,10071,VIP,"Robot Aspirador",1,ACCEPTED,279.99,0.00028,0.04453,Servidor-5,"Compra completada correctamente."
26,10026,NORMAL,"Cafetera Deluxe",2,ACCEPTED,379.98,0.04533,0.04738,Servidor-11,"Compra completada correctamente."
74,10074,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00081,0.03507,Servidor-7,"Compra completada correctamente."
20,10020,NORMAL,"AirPods Pro",1,ACCEPTED,249.00,0.03991,0.07229,Servidor-12,"Compra completada correctamente."
